,song_name,lyrics
0,Super Bass Lyrics,"This one is for the boys with the booming system|-|Top down, AC with the cooling system|-|When he come up in the club, he be blazin' up|-|Got stacks on deck like he savin' up|-|And he ill, he real, he might got a deal|-|He pop bottles and he got the right kind of bill|-|He cold, he dope, he might sell coke|-|He always in the air, but he never fly coach|-|He a motherfucking trip, trip, sailor of the ship, ship|-|When he make it drip, drip kiss him on the lip, lip|-|That's the kind of dude I was lookin' for|-|And yes you'll get slapped if you're lookin' hoe|-|I said, excuse me, you're a hell of a guy|-|I mean my, my, my, my you're like pelican fly|-|I mean, you're so shy and I'm loving your tie|-|You're like slicker than the guy with the thing on his eye, oh|-|Yes I did, yes I did|-|Somebody please tell him who the F I is|-|I am Nicki Minaj, I mack them dudes up|-|Back coupes up, and chuck the deuce up|-|Boy, you got my heartbeat runnin' away|-|Beating like a drum and it's coming your way|-|Can't you hear that|-|Boom, badoom, boom, boom, badoom, boom, bass?|-|You got that super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|Yeah, that's the super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|He got that super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|He got that super bass|-|This one is for the boys in the polos|-|Entrepreneur niggas & the moguls|-|He could ball with the crew, he could solo|-|But I think I like him better when he down low|-|And I think I like him better with the fitted cap on|-|He ain't even gotta try to put the mac on|-|He just gotta give me that look, when he give me that look|-|Then the panties comin' off, off, uh|-|Excuse me, you're a hell of a guy|-|You know I really got a thing for American guys|-|I mean, sigh, sickenin' eyes|-|I can tell that you're in touch with your feminine side, oh|-|Yes I did, yes I did|-|Somebody please tell him who the F I is|-|I am Nicki Minaj, I mack them dudes up|-|Back coupes up, and chuck the deuce up|-|Boy, you got my heartbeat runnin' away|-|Beating like a drum and it's coming your way|-|Can't you hear that|-|Boom, badoom, boom, boom, badoom, boom, bass?|-|You got that super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|Yeah, that's the super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|He got that super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|He got that super bass|-|See I need you in my life for me to stay|-|No, no, no, no, no, I know you'll stay|-|No, no, no, no, no, don't go away|-|Boy, you got my heartbeat runnin' away|-|Don't you hear that heartbeat comin' your way?|-|Oh, it be like|-|Boom, badoom, boom, boom, badoom, boom, bass|-|Can't you hear that|-|Boom, badoom, boom, boom, badoom, boom, bass?|-|Boy, you got my heartbeat runnin' away|-|Beating like a drum and it's coming your way|-|Can't you hear that|-|Boom, badoom, boom, boom, badoom, boom, bass?|-|You got that super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|Yeah, that's the super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|He got that super bass|-|Boom, badoom, boom, boom, badoom, boom, bass|-|He got that super bass"
1,Bed Lyrics,"Got a bed wit' your name on it|-|Wit' your name on it|-|Got a kiss wit' your name on it|-|Wit' your name on it|-|Thousand dollar sheets|-|Waiting for you on some thousand-dollar sheets|-|I got Carter III on repeat|-|Back shots to the beat of ('A Milli') on you|-|Got me acting like you got a milli on you|-|You say I'm the GOAT, yeah, the billy on you|-|I could make all your dreams come true|-|Wanna fall through, then you better come through|-|Don't make me wait until the morning|-|Got a bed wit' your name on it|-|Wit' your name on it|-|Got a kiss wit' your name on it|-|Wit' your name on it|-|Love me good, love me down, don't turn me down|-|Got a bed wit' your name on it|-|Wit' your name on it|-|Strawberry lingerie|-|Waiting for you, strawberries, lingerie|-|You told me you on the way|-|Messed around, messed around, put it down on you|-|I'ma do everything I said I'm gon' do|-|Pretty little body, it look better on you|-|Might have to blow it like a feather on you|-|Waterfalls, ooh, yeah, you better come through|-|Don't make me wait until the morning|-|Got a bed wit' your name on it|-|Wit' your name on it|-|Got a kiss wit' your name on it|-|Wit' your name on it|-|Love me good, love me down, don't turn me down|-|Got a bed wit' your name on it (Oh yeah)|-|Wit' your name on it (on it)|-|O-on, on it (On it)|-|O-on, on it|-|O-on, on it|-|O-on, on it (but I put your name... on it)|-|Yo, he in my startin' five, he get the city live|-|These niggas scared, they doing fifty in a fifty-five|-|I'm tryna clap them like somebody told 'em, ""Gimme five""|-|I'ma be a half an hour, but I told 'em, ""Gimme five""|-|I'm tryna dance on 'em, blow my advance on 'em|-|I like 'em better when he got some sweatpants on 'em|-|I like his hang time, he said his head right|-|I said go all the way down and then head right|-|I watch him fuck it up, look at him luckin' up|-|I said you need some thick skin, baby, suck it up|-|He go insane on it, I put my fame on it|-|Coulda put ZAYN on it, but I put your name on it|-|I got a bed wit' your name on it|-|Wit' your name on it|-|Got a kiss wit' your name on it|-|Wit' your name on it, yeah|-|Love me good, love me down, don't turn me down (turn it down, baby)|-|Got a bed wit' your name on it|-|Wit' your name on it"
2,Anaconda Lyrics,"My anaconda don't|-|My anaconda don't|-|My anaconda don't want none|-|Unless you got buns, hun|-|Boy toy named Troy, used to live in Detroit|-|Big dope dealer money, he was gettin' some coins|-|Was in shootouts with the law, but he live in a palace|-|Bought me Alexander McQueen, he was keeping me stylish|-|Now that's real, real, real|-|Gun in my purse, bitch, I came dressed to kill|-|Who wanna go first? I had them push daffodils|-|I'm high as hell, I only took a half a pill|-|I'm on some dumb shit|-|By the way, what he say?|-|He can tell I ain't missing no meals|-|Come through and fuck him in my automobile|-|Let him eat it with his grills and he tellin' me to chill|-|And he telling me it's real, that he love my sex appeal|-|Say he don't like em boney, he want something he can grab|-|So I pulled up in the Jag and I hit him with the jab like|-|Dun-d-d-dun-dun-d-d-dun-dun|-|My anaconda don't|-|My anaconda don't|-|My anaconda don't want none|-|Unless you got buns, hun|-|Oh my gosh, look at her butt|-|Oh my gosh, look at her butt|-|Oh my gosh, look at her butt (Look at her butt)|-|Look at, look at, look at, look, at her butt|-|This dude named Michael used to ride motorcycles|-|Dick bigger than a tower, I ain't talking about Eiffel's|-|Real country-ass nigga, let me play with his rifle|-|Pussy put his ass to sleep, now he calling me NyQuil|-|Now that bang, bang, bang|-|I let him hit it 'cause he slang cocaine|-|He toss my salad like his name Romaine|-|And when we done, I make him buy me Balmain|-|I'm on some dumb shit|-|By the way, what he say?|-|He can tell I ain't missing no meals|-|Come through and fuck him in my automobile|-|Let him eat it with his grills and he telling me to chill|-|And he telling me it's real, that he love my sex appeal|-|Say he don't like em boney, he want something he can grab|-|So I pulled up in the Jag mayweather with the jab like|-|Dun-d-d-dun-dun-d-d-dun-dun|-|My anaconda don't|-|My anaconda don't|-|My anaconda don't want none|-|Unless you got buns, hun|-|Oh my gosh, look at her butt|-|Oh my gosh, look at her butt|-|Oh my gosh, look at her butt (Look at her butt)|-|Look at, look at, look at, look, at her butt|-|Little in the middle but she got much back|-|Little in the middle but she got much back|-|Little in the middle but she got much back|-|Oh my God, look at her butt|-|My anaconda don't|-|My anaconda don't|-|My anaconda don't want none|-|Unless you got buns, hun|-|Don't, my anaconda don't|-|Don't want none|-|Unless you got buns, hun|-|Oh my gosh, look at her butt|-|Oh my gosh, look at her butt|-|Oh my gosh, look at her butt (Look at her butt)|-|Look at, look at, look at, look, at her butt|-|Yeah, he love this fat ass|-|Yeah! This one is for my|-|Bitches with a fat ass in the fucking club|-|I said, where my fat ass big bitches in the club?|-|Fuck the skinny bitches!|-|Fuck the skinny bitches in the club!|-|I wanna see all the big fat ass|-|Bitches in the muthafuckin' club|-|Fuck you if you skinny bitches, what? Kyuh|-|I got a big fat ass (Ass, ass, ass)|-|Come on! Hey!"
3,Starships Lyrics,"RedOne|-|Let's go to the beach, each, let's go get a wave|-|They say, what they gonna say?|-|Have a drink, clink, found the Bud Light|-|Bad bitches like me, is hard to come by|-|The Patron, own, let's go get it on|-|The zone, own, yes I'm in the zone|-|Is it two, three, leave a good tip|-|I'ma blow all my money and don't give two shits|-|I'm on the floor, floor, I love to dance|-|So give me more, more 'til I can't stand|-|Get on the floor, floor like it's your last chance|-|If you want more, more then here I am|-|Starships were meant to fly|-|Hands up and touch the sky|-|Can't stop 'cause we're so high|-|Let's do this one more time, oh|-|Starships were meant to fly|-|Hands up and touch the sky|-|Let's do this one last time|-|Can't stop...|-|We're higher than a motherfucker|-|We're higher than a motherfucker|-|We're higher than a motherfucker|-|Jump in my hooptie hooptie hoop, I own that|-|And I ain't paying my rent this month, I owe that|-|But fuck who you want, and fuck who you like|-|That's our life, there's no end in sight|-|Twinkle, twinkle little star|-|Now everybody let me hear you say, ray, ray, ray|-|Now spend all your money 'cause today's pay day|-|And if you're a G, you a G, G, G|-|My name is Onika, you can call me Nicki|-|Get on the floor, floor like it's your last chance|-|If you want more, more then here I am|-|Starships were meant to fly|-|Hands up and touch the sky|-|Can't stop 'cause we're so high|-|Let's do this one more time, oh|-|Starships were meant to fly|-|Hands up and touch the sky|-|Let's do this one last time|-|Can't stop...|-|We're higher than a motherfucker|-|We're higher than a motherfucker|-|We're higher than a motherfucker|-|Starships were meant to fly|-|Hands up and touch the sky|-|Can't stop 'cause we're so high|-|Let's do this one more time, oh|-|Starships were meant to fly|-|Hands up and touch the sky|-|Let's do this one last time|-|Can't stop...|-|We're higher than a motherfucker|-|We're higher than a motherfucker|-|We're higher than a motherfucker"
4,Ganja Burn Lyrics,"Ayo, as the world turns, the blunt burns|-|(Who you gettin' at, Nicki?)|-|Watch them cunts learn|-|Fashion icon, Audrey Hepburn|-|I move keys, but you hoes get one turn|-|Yeah, you get one turn, and one urn|-|I straighten all these bitches out with one perm|-|Who ever gassed 'em ain't none of my concern|-|But, see, the Lord showed me dreams to confirm|-|They done went to witch doctors to bury the Barbie|-|But I double back, kill bitches, bury the body|-|And that go for anybody, you'll be thoroughly sorry|-|I could wage war or I come in peace like Gandhi|-|All my powers back now I'm scary to zombies|-|Bring the heat to her, sizzle 'em, ain't talking Kalonji|-|I done fasted and prayed, had to cleanse my body|-|Abstaining from sex, had to zen my body|-|I ain't givin', so don't ask, I don't lend my body|-|Gotta be king status to give men my body|-|(He gotta be king status to get in ya body?)|-|Fuck, yeah, 'cause a Queen is what I embody, uh|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Everytime I get high, I just think about you|-|Everytime I get high, I just think about you|-|Everytime I get high, I just think about you|-|Everytime I get high, I just think about you|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Yo, you can't wear a Nicki wig and then be Nicki|-|That's like a fat nigga thinkin' he can be Biggie|-|One rough ride, now you DMX and Swizzy|-|One hot video, you Hype? Nah, you just giddy|-|You made one dope beat, now you Kanye?|-|You got a nigga named JAY, now you 'Yonce?|-|You got about three stacks, now you Andre?|-|You put a part in your fade, yeah you Nas, bae|-|You gotta have real skill, gotta work for that|-|If it's really your passion, would you give the world for that?|-|Unlike a lot of these hoes whether wack or lit|-|At least I can say I wrote every rap I spit|-|Put my blood, sweat and tears in perfectin' my craft|-|Still every team's number one pick in the draft|-|You could bring anybody, weatherman, pick a day|-|I'm Kobe, KD, Kyrie! Pick a K|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Everytime I get high, I just think about you|-|Everytime I get high, I just think about you|-|Everytime I get high, I just think about you|-|Everytime I get high, I just think about you|-|Ganja burn, ganja burn, ganja burn (yeah)|-|Ganja burn, ganja burn, ganja burn (yeah)|-|I see ya, I see you|-|I see ya, I see you|-|To my surprise I saw you in my eyes|-|The nights I cried, repented of the lies|-|To my, na-na-na-na-na-na-na-na-na-na-na|-|To my, na-na-na-na-na-na-na-na-na-na-na (ooh)|-|Na-na-na-na-na-na-na-na-na-na-na-na (ooh)|-|Na-na-na-na-na-na-na-na-na-na-na|-|Ooh, burn, baby (na-na-na-na-na-na-na-na)"
5,Only Lyrics,"Yo, I never fucked Wayne, I never fucked Drake|-|On my life, man, fuck's sake|-|If I did I'd Minaj wid' him and let 'em eat my ass like a cupcake|-|My man full, he just ate, I don't duck nobody but tape|-|Yeah, that was a setup for a punchline on duct tape|-|Worried 'bout if my butt fake|-|Worry 'bout ya'll niggas, us straight|-|These girls are my sons, Jon and Kate plus eight|-|When I walk in, sit up straight, I don't give a fuck if I was late|-|Dinner with my man on a G5 is my idea of an update|-|Hut-hut one, hut- hut two, big titties, big butt too|-|Fuck with them real niggas who don't tell niggas what they up to|-|Had to show bitches where the top is, ring finger where the rock is|-|These hoes couldn't test me even if they name was pop quiz|-|Bad bitches who I fuck wit', mad bitches we don't fuck wit'|-|I don't fuck wit' them chickens unless they last name is Cutlet|-|Let it soak in like seasoning|-|And tell them bitches, blow me, Lance Stephenson|-|Raise every bottle and cup in the sky|-|Sparks in the air like the fourth of July|-|Nothing but bad bitches in here tonight|-|Oh, if you lame and you know it be quiet|-|Nothing but real niggas only, bad bitches only|-|Rich niggas only, independent bitches only|-|Boss niggas only, thick bitches only|-|I got my real niggas here by my side, only|-|I never fucked Nicki cause she got a man|-|But when that's over then I'm first in line|-|And the other day in her Maybach|-|I thought God damn, this is the perfect time|-|We had just come from that video|-|You know LA traffic, how the city slow|-|She was sitting down on that big butt|-|But I was still staring at the titties though|-|Yeah, low key or maybe high key|-|I been peeped that you like me, you know|-|Who the fuck you really wanna be with besides me?|-|I mean, it doesn't take much for us to do this shit quietly|-|I mean, she say I'm obsessed with thick women and I agree|-|Yeah, that's right, I like my girls BBW, yea|-|Type to wanna suck you dry and then eat some lunch with you|-|Yeah, so thick that everybody else in the room is so uncomfortable|-|Ass on Houston Texas, but the face look just like Claire Huxtable|-|Oh, yeah, you the man in the city when the mayor fuck with you|-|The NBA players fuck with you|-|The bad ass bitches doing makeup and hair fuck with you|-|Oh, that's cause I believe in something, I stand for it|-|And Nicki if you ever try to fuck|-|Just give me the heads up so I can plan for it|-|I never fucked Nicki and that's fucked up|-|If I did fuck she'd be fucked up|-|Whoever is hittin' ain't hittin' it right|-|Cause she act like she need dick in her life|-|But that's another story, I'm no story teller|-|I piss greatness like goldish yellow|-|All my goons so overzealous|-|I'm from Hollygrove, the holy Mecca|-|Calendar say I got money for days|-|I squirm and I shake, but I'm stuck in my ways|-|My girlfriend would beat a bitch up if she waved|-|They bet not fuck with her surfboard, surfboard|-|My eyes are so bright, I take cover for shade|-|Don't have my money? Take mother's instead|-|You got the hiccups, you swallow the truth|-|Then I make you burp, boy, street beef like sirloin|-|I'm talkin' bout running in houses with army guns|-|So think about your son and daughter rooms|-|Got two hoes wit me, messed up, they got smaller guns|-|Ain't thinkin' 'bout your son and daughter rooms|-|This shit is crazy, my nigga|-|That money talk, I just rephrase it, my nigga|-|Blood gang take the B off behavior, my nigga|-|For reals if you mouth off I blow your face off|-|I mean pop-pop-pop then I take off, nigga|-|Now you see me, nigga, now you don't|-|Like Jamie Foxx acting like Ray Charles|-|16 in the clip, one in the chamber|-|17 ward bully with 17 bullets|-|My story is how I went from poor me|-|To please pour me a drink and celebrate with me"
6,Chun-Li Lyrics,"Ayo, look like I'm goin' for a swim|-|Dunk on 'em, now I'm swingin' off the rim|-|Bitch ain't comin' off the bench|-|While I'm comin' off the court fully drenched|-|Here, get some haterade, get ya thirst quenched|-|Styled on 'em in this Burberry trench|-|These birds copy every word, every inch|-|But gang gang got the hammer and the wrench (brrr)|-|I pull up in that quarter milli off the lot|-|Oh, now she tryna be friends like I forgot|-|Show off my diamonds like I'm signed by the Roc (by the rock)|-|Ain't pushin' out his babies 'til he buy the rock|-|Ayo, I been on, bitch, you been corn|-|Bentley tints on, Fendi prints on|-|I mean I been Storm, X-Men been formed|-|He keep on dialin' Nicki like the Prince song|-|I-I-I been on, bitch, you been corn|-|Bentley tints on, Fendi prints on|-|Ayo, I been off, Lara been Croft|-|Plates say Chun-Li, drop the Benz off|-|Oh, I get it, huh, they paintin' me out to be the bad guy, well|-|When's the last time you see a bad guy do the rap game like me?|-|I went and copped the chopsticks|-|Put it in my bun just to pop shit|-|I'm always in the top shit|-|Box seats, bitch, fuck the gossip|-|How many of them coulda did it with finesse?|-|Now everybody like, ""She really is the best.""|-|You play checkers, couldn't beat me playin' chess|-|Now I'm about to turn around and beat my chest|-|Bitch, it's King Kong, yes, it's King Kong|-|Bitch, it's King Kong, this is King Kong|-|Chinese ink on, Siamese links on|-|Call me 2 Chainz, name go ding dong|-|Bitch, it's King Kong, yes, I'm King Kong|-|This is King Kong? Yes, Miss King Kong|-|In my kingdom wit my Timbs on|-|How many championships? What? Six rings on|-|They need rappers like me!|-|They need rappers like me!|-|So they can get on their fucking keyboards!|-|And make me the bad guy, Chun-Li|-|Ayo, I been on, bitch, you been corn|-|Bentley tints on, Fendi prints on|-|I mean I been Storm, X-Men been formed|-|He keep on dialin' Nicki like the Prince song|-|I-I-I been on, bitch, you been corn|-|Bentley tints on, Fendi prints on|-|Ayo, I been off, Lara been Croft|-|Plates say Chun-Li, drop the Benz off|-|I come alive, I, I'm always sky high|-|Designer thigh highs, it's my lifestyle|-|I come alive, I, I'm always sky high|-|Designer thigh highs, it's my lifestyle|-|I need a Mai Tai, so fuckin' sci-fi|-|Gimme the password to the fuckin' wifi"
7,Feeling Myself Lyrics,"Yo, B|-|They ready?|-|Let's go!|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|I'm with some hood girls lookin' back at it|-|And a good girl in my tax bracket|-|Got a black card that'll let Saks have it|-|These Chanel bags is a bad habit|-|I-I do balls, Dal Mavericks|-|My Maybach, black matted|-|Bitch, never left but I'm back at it|-|And I'm feelin' myself, jack rabbit|-|Feelin' myself, back off|-|'Cause I'm feelin' myself, jack off|-|He be thinking about me when he whacks off|-|Wax on? (Wax off)|-|National anthem, hats off|-|Then I curve that nigga, like a bad toss|-|Lemme get a number two, with some Mac sauce|-|""On The Run Tour"" With my mask off|-|I'm feelin' myself, I'm feelin' myself, I'm feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|Changed the game with that digital drop|-|Know where you was when that digital popped|-|I stopped the world|-|Male or female, it make no difference, I stop the world|-|World stop...|-|Carry on|-|Kitty on fleek, pretty on fleek|-|Pretty gang always keep them niggas on geek|-|Ridin' through Texas (Texas), feed him for his breakfast|-|Everytime I whip it, I be talkin' so reckless|-|He said, ""Damn Nicki it's tight""|-|I say, ""Yeah nigga you right""|-|He said, ""Damn, bae, you so little but you be really takin' that pipe""|-|I said, ""Yes daddy I do|-|Gimme brain like NYU""|-|I said, ""Teach me, nigga, teach me|-|All this learnin' here is by you"" (Uhn!)|-|I'm whippin' that work|-|He diggin' that work|-|I got it, 36 of that real|-|Panky full of that bounce, baby|-|Come get you some of that bounce, baby|-|I'm feelin' myself, I'm feelin' myself, I'm feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my, feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|Feelin' myself, I'm feelin' myself, I'm feelin' my|-|Cookin' up that base, lookin' like a kilo|-|He just wanna taste, biggin' up my ego...|-|(Ridin' through Texas...) Ridin'-ridin' through Texas|-|Smoke it all off, talkin' bout that high-grade|-|Baby, hold up, I can kill your migraine...|-|(Ridin' through Texas...) Ridin'-ridin' through Texas|-|Bitches ain't got punchlines or flow|-|I have both and an empire also|-|Keep gettin' gifts from Santa Claus at the North Pole|-|Today I'm icy, but I'm prayin' for some more snow|-|Let that ho-ho, let that ho know (he in love...)|-|He in love with that coco|-|Why these bitches don't never be learnin'?|-|You bitches will never get what I be earnin'|-|I'm still gettin' plaques, from my records that's urban|-|Ain't gotta rely on top 40, I am a Rap legend|-|Just go ask the Kings of Rap|-|Who is the Queen and things of that|-|Nature? Look at my finger|-|That is a glacier, hits like a laser...|-|Drippin' on that work, trippin' off that perc|-|Flippin' up my skirt and I be whippin' all that work|-|Takin' trips with all them ki's, car keys got B's|-|Stingin' with the Queen Bey and we be whippin' all of that D|-|'Cause we dope girls we flawless|-|We the poster girls for all this|-|We run around with them ballers|-|Only real niggas in my call list|-|I'm the big kahuna, go let them whores know|-|Just on this song alone, bitch is on her fourth flow|-|Rrrr!|-|You like it don't you? Snitches!|-|Young Money"
8,Rich Sex Lyrics,"Yo, mula, yo, yeah|-|Ayo|-|I know what these niggas like, and it ain't my charm|-|I ain't stupid, this $250 on my arm|-|I like money more than dick, nigga, that's a fact|-|You think pussy's everything? Well, let's have a chat|-|A-a-ass out, pussy fat, point me to a rich nigga|-|Who gon' Rico, Ace me, pay in full my money, Mitch, nigga|-|I'ma help him fuck the check up, I'ma run the business|-|If your girl don't get it poppin', put me on your wishlist|-|Hitlist, now he sendin' gifts like if it's Christmas|-|He say, ""Baby, everyday we ballin'"", I say, ""Swish, swish""|-|Got him callin' nonstop 'cause he don't wanna miss this|-|I said, ""Don't panic, keep the faith, nigga, Big's bitch""|-|(Real rich nigga sex)|-|If you know your pussy worth a Benz truck|-|(Rich sex)|-|Don't let homie fuck unless his bands up|-|(Rich sex)|-|Go to DR, get that fat transfer|-|(Rich sex)|-|It ain't such a thing as broke and handsome|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|Lil mama said she only fuckin' on a rich dick|-|I cum in her face and tell her, ""Now you lookin' rich, bitch""|-|Her friend in the other room, can I get a witness?|-|We could have some rich sex, cannot have no rich kids|-|Facts, all my bitches have no limits|-|Fucked her in a helicopter, now she screamin' ""Sky's the limit""|-|Fuck her in the drop top, now she screamin' ""Sky's the limit""|-|Sent her back to who she with,|-|now she screamin', ""Why I'm with him?"" Damn|-|Lil mama said she only suckin' on a rich dick|-|Make you put your money where your mouth at, that's some lipstick|-|Let's fuck on the money 'fore we count that, that's some rich shit|-|Pussy smell like money when I'm down her, that some Nic shit|-|(Real rich nigga sex)|-|If you know your pussy worth a Benz truck|-|(Rich sex)|-|Don't let homie fuck unless his bands up|-|(Rich sex)|-|Go to DR, get that fat transfer|-|(Rich sex)|-|It ain't such a thing as broke and handsome|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|If you let that broke nigga fuck, we tellin'|-|(Rich sex)|-|Rich who? Got bricks, too|-|The rich get richer, that's my ritual|-|Rich crew, link my bitch too|-|Mac took the Wraith, me and Tun flew|-|I don't even know where we going these days, where we landing|-|Queen, where we going again?|-|To the moon, Elis, the goon palace|-|When we get fly, we take flight, haha|-|Woo! Haha, ahh-haha, ahh!|-|You mad, doggie? You mad, doggie?|-|(Next stop: New York)|-|Hahaha, lrrr!"
9,Stupid Hoe Lyrics,"Uh! Yo! Yo! I get it cracking like a bareback.|-|Bitch talking she's the ""queen"" when she's looking like a lab rat.|-|I'm Angelina. You're Jennifer.|-|C'mon, bitch, you see where Brad at.|-|Ice my wrists and I piss on bitches.|-|You can suck my diz-nick if you take this jizz-ez.|-|You don't like them disses, give my ass some kisses.|-|Yeah, they know what this is. Giving this the business.|-|'Cause I pull up and I'm stunting, but I ain't a stuntman.|-|Yes, I'm rockin' Jordans, but I ain't a jump-man.|-|Bitches play the back 'cause they know I'm the front man.|-|Put me on the dollar 'cause I'm who they trusting.|-|Ayo, SB! What the fuck's good?|-|We ship platinum! Them bitches are shipping wood!|-|Them nappy headed hoes! But in my kitchen good!|-|I wish, I wish, I wish, I wish, I wish a bitch would!|-|You a stupid hoe! You a, you a stupid hoe!|-|You a stupid hoe! You a, you a stupid hoe!|-|You a stupid hoe! You a, you a stupid hoe!|-|You a stupid hoe! Yeah! You a, you a stupid hoe!|-|You a stupid hoe! You a, you a stupid hoe! (Stupid! Stupid!)|-|You a stupid hoe! You a, you a stupid hoe! (Stupid! Stupid!)|-|You a stupid hoe! You a, you a stupid hoe! (Stupid! Stupid!)|-|Stupid hoe! (Stupid! Yeah! Stupid!) You a stupid hoe! (Stupid! Stupid!)|-|Look, bubbles, go back to your habitat!|-|MJ gone and I ain't having that!|-|How you gon' be the stunt double to the nigga's monkey?|-|Top of that, I'm in the phantom looking hella chunky!|-|Ice my wrists and I piss on bitches.|-|You can suck my diz-nick if you take this jizz-ez.|-|You don't like them disses, give my ass some kisses.|-|Yeah, they know what this is. Giving this the business.|-|'Cause I pull up in that Porsche, but I ain't a Rossi.|-|Pretty bitches only could get in my posse.|-|Yes, my name is Roman. Last name is Zolanski|-|But no relation to Roman Polanski.|-|Hey, yo, baby-bop! Fuck you and your EP!|-|Who's gassing this hoe? BP?|-|Hmm. Thinks 1, 2, 3.|-|Do the Nicki Minaj Blink.|-|'Cause these hoes so busted! Hoes is so crusty!|-|These bitches is my sons! And I don't want custody!|-|Hoes so busted! Hoes is so crusty!|-|These bitches is my sons! And I don't want custody!|-|You a stupid hoe! You a, you a stupid hoe!|-|You a stupid hoe! You a, you a stupid hoe!|-|You a stupid hoe! You a, you a stupid hoe!|-|You a stupid hoe! Yeah! You a, you a stupid hoe!|-|You a stupid hoe! You a, you a stupid hoe! (Stupid! Stupid!)|-|You a stupid hoe! You a, you a stupid hoe! (Stupid! Stupid!)|-|You a stupid hoe! You a, you a stupid hoe! (Stupid! Stupid!)|-|Stupid hoe! (Stupid! Yeah! Stupid!) You a stupid hoe! (Stupid! Stupid!)|-|If you cute than your crew can roll.|-|If you sexy, eat my koo-ka-ro.|-|Put ya cape on. You're a super hoe.|-|2012! I'm at the Super Bowl!|-|Stupid hoes is my enemy.|-|Stupid hoes is so whack.|-|Stupid hoe should've befriended me.|-|Then she could've probably came back.|-|Stupid hoes is my enemy.|-|Stupid hoes is so whack.|-|Stupid hoe should've befriended me.|-|Then she could've probably came back.|-|You're a stupid hoe!|-|You're a stupid hoe!|-|You're a stupid hoe!|-|And I aint' hit that note but|-|Fuck you, stupid hoe! Ah! Fuck you, stupid hoe!|-|I said, ""Fuck a stupid hoe! Ah! Fuck a stupid hoe!""|-|I said, ""Fuck a stupid hoe! Ah! Fuck a stupid hoe!""|-|I said, ""Fuck a stupid hoe! Ah! Fuck a stupid hoe!""|-|I am the female Weezy!"
